CH1_FREQ [Hz], CH1_AMPL [Vpp], CH2_FREQ [Hz], CH2_AMPL [Vpp], PHASE_DIFF [Deg], GAIN [dB]
100.0, 1.09, 99.97, 1.73, 164.51, 4.0123921037634345
147.17, 1.09, 147.42, 1.67, 159.52, 3.7057994641391923
194.486, 1.07, 194.698, 1.59, 151.13, 3.440266932704837
241.87, 1.07, 242.19, 1.53, 145.53, 3.1061530626477833
288.99, 1.07, 289.42, 1.45, 140.98, 2.639684490995304
336.95, 1.07, 336.93, 1.37, 137.6, 2.1467357894239427
384.01, 1.07, 383.95, 1.29, 133.99, 1.6241186522807864
430.84, 1.07, 432.39, 1.21, 130.39, 1.0680318526248072
478.6, 1.07, 479.5, 1.15, 125.98, 0.6262812533680391
526.83, 1.07, 525.61, 1.09, 125.22, 0.16085440510827992
573.26, 1.07, 574.47, 1.05, 122.3, -0.16388957230543139
621.18, 1.07, 621.15, 0.96, 120.25, -0.9422508929128258
668.7, 1.07, 669.52, 0.92, 118.7, -1.3119190067930875
716.54, 1.07, 717.44, 0.88, 117.01, -1.6980221107008207
763.36, 1.07, 763.64, 0.84, 115.9, -2.10208983246656
811.16, 1.07, 809.95, 0.8, 114.46, -2.5258758138653215
858.28, 1.07, 857.69, 0.76, 113.78, -2.971403708088366
904.75, 1.07, 904.09, 0.74, 109.28, -3.2030411590846692
953.41, 1.07, 953.24, 0.7, 109.44, -3.6857147534190564
1000.61, 1.07, 999.26, 0.68, 109.99, -3.937497299579467
